,Source Title,ISSN,All Science Journal Classification Codes (ASJC)
0,@GRH,20349130,['1407']
1,[Hifu] Skin research,00181390,"['2708', '2725']"
2,[Nippon koshu eisei zasshi] Japanese journal of public health,05461766,['2700']
3,[Rinsho ketsueki] The Japanese journal of clinical hematology,04851439,['2700']
4,[Zasshi] [Journal]. Nihon Kyobu Geka Gakkai,03694739,['2705']
5,1700-tal: Nordic Journal for Eighteenth-Century Studies,16524772,"['1213', '3316', '1202']"
6,20 & 21: Revue d'Histoire,2649664X,['1202']
7,21st Century Music,15343219,['1210']
8,2D Materials,nan,"['2210', '2211', '3104', '2500', '1600']"
9,3 Biotech,2190572X,"['2301', '1101', '1305']"
10,3D Printing and Additive Manufacturing,23297662,"['2209', '2501']"
11,3D Printing in Medicine,nan,"['2741', '1706', '2204']"
12,3D Research,nan,"['2208', '1712']"
13,"3L: Language, Linguistics, Literature",01285157,"['1208', '3310', '1203']"
14,452ºF,nan,['1208']
15,4OR,16194500,"['1703', '1803', '1404', '2614']"
16,A & A case reports,23257237,['2700']
17,A + U-Architecture and Urbanism,03899160,"['3322', '1213', '2216']"
18,A and A Practice,nan,['2700']
19,A Contrario,16607880,"['1208', '3320', '3312', '3316']"
20,A e C - Revista de Direito Administrativo e Constitucional,15163210,['3308']
21,A Journal of emergency medical services : JEMS,01972510,['2700']
22,A journal of Jewish medical ethics and halacha,nan,['2700']
23,A report of the ... National Forum on Hospital and Health Affairs / conducted by the Graduate Program in Hospital Administration of Duke University. National Forum on Hospital and Health Affairs,nan,['nan']
24,A. M. A. Archives of Dermatology,00965359,['2708']
25,A. M. A. archives of dermatology and syphilology,00965979,['2708']
26,A. M. A. archives of industrial health,05673933,"['2308', '2100', '2102', '2103', '2611', '2105']"
27,A. M. A. archives of industrial hygiene and occupational medicine,00966703,['2700']
28,A. M. A. archives of neurology and psychiatry,00966886,['2700']
29,A. M. A. archives of pathology,00966711,['2700']
30,A.M.A Archives of Surgery,00966908,['2746']
31,A.M.A. American Journal of Diseases of Children,00968994,['2735']
32,A.M.A. archives of internal medicine,08882479,['2724']
33,A.M.A. Archives of Neurology,03758540,['2728']
34,A.M.A. Archives of Ophthalmology,00966339,['2731']
35,A.M.A. Archives of Otolaryngology,00966894,['2733']
36,a/b: Auto/Biography Studies,08989575,"['3316', '1202', '1208']"
37,A/Z ITU Journal of the Faculty of Architecture,25647474,"['1213', '3322', '2216', '2205']"
38,A+BE Architecture and the Built Environment,22123202,"['3322', '1202', '2215', '2216']"
39,AAA - Arbeiten aus Anglistik und Amerikanistik,01715410,"['1208', '3310', '1203']"
40,AAC: Augmentative and Alternative Communication,07434618,"['3616', '2742']"
41,AACE Clinical Case Reports,nan,['2712']
42,AACL Bioflux,18448143,"['2308', '2312', '1104', '1105']"
43,AACN Advanced Critical Care,15597768,"['2906', '2711']"
44,AACN Clinical Issues,10790713,"['2902', '2904', '2911']"
45,AACN clinical issues in critical care nursing,10467467,['2700']
46,AANA Journal,00946354,"['2914', '2902', '2703']"
47,AANNT journal / the American Association of Nephrology Nurses and Technicians,07441479,['2700']
48,AAO Journal,23755776,"['2902', '2707', '3603']"
49,AAOHN Journal,08910162,"['2739', '2901']"
50,AAPG Bulletin,01491423,"['1907', '1906', '2103', '2102', '1901']"
51,AAPG Memoir,02718529,['1905']
52,"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali",03650359,"['1900', '1207', '3100', '1100', '2600', '1600', '1700']"
53,AAPPO journal : the journal of the American Association of Preferred Provider Organizations,10545913,['2700']
54,AAPPS Bulletin,02182203,['3100']
55,AAPS Advances in the Pharmaceutical Sciences Series,22107371,['3003']
56,AAPS Journal,nan,['3003']
57,AAPS PharmSci,15221059,['3003']
58,AAPS PharmSciTech,nan,['3003']
59,Aardkundige Mededelingen,02507803,['1900']
60,AARN news letter,00010197,['2700']
61,AAS History Series,07303564,['1405']
62,AAS Open Research,nan,['1000']
63,AATCC Journal of Research,24723444,"['2505', '2507', '1508']"
64,AATCC Review,15328813,"['1601', '1500', '2501']"
65,AB bookman's weekly : for the specialist book world,00010340,['2700']
66,Ab Imperio,21664072,"['3312', '1202']"
67,ABA Bank Marketing,15397890,['1406']
68,ABA Journal,07470088,['3308']
69,ABAC Journal,08580855,"['1208', '2000', '3301', '1400', '3304']"
70,Abacus,00013072,['1402']
71,ABB Review,10133119,"['2208', '2210']"
72,Abbey Newsletter,02768291,['1500']
73,Abdominal Imaging,09428925,"['2748', '2715', '2741', '3614']"
74,Abdominal Radiology,2366004X,"['2748', '2715', '2741', '3614']"
75,Aberdeen's Concrete Construction,10515526,['2215']
76,Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg,00255858,['2600']
77,Abhandlungen der Senckenberg Gesellschaft fur Naturforschung,18680356,"['1900', '2300']"
78,Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft,03657000,"['1900', '2300']"
79,Abhandlungen zur Geschichte der Medizin und der Naturwissenschaften,0174870X,['2700']
80,aBIOTECH,20966326,"['1110', '1305', '1301', '1311', '1312', '1102']"
81,Aboriginal History Journal,03148769,"['3316', '1202']"
82,Abrasive Eng,00013277,['2200']
